State,Year,Quarter,District,Count,Amount
odisha,2023,1,khordha,111522734,135017933250.0
odisha,2023,1,cuttack,41385050,62482723536.0
odisha,2023,1,ganjam,32835788,61573352324.0
odisha,2023,1,jajapur,25255634,37473229516.0
odisha,2023,1,baleshwar,22230329,39044589915.0
odisha,2023,1,puri,21713045,32501736718.0
odisha,2023,1,sundargarh,20729692,33143659545.0
odisha,2023,1,kendujhar,18026645,31232789553.0
odisha,2023,1,bhadrak,16140167,26416399764.0
odisha,2023,1,anugul,15740427,27099331321.0
odisha,2023,3,khordha,144941533,159592851808.0
odisha,2023,3,cuttack,53024563,70065545147.0
odisha,2023,3,ganjam,40855320,65970075357.0
odisha,2023,3,jajapur,32536236,41352891757.0
odisha,2023,3,baleshwar,28232066,43382779335.0
odisha,2023,3,puri,28070046,36742200410.0
odisha,2023,3,sundargarh,27013359,38003557931.0
odisha,2023,3,kendujhar,22939986,34029005050.0
odisha,2023,3,anugul,20871920,30774729076.0
odisha,2023,3,bhadrak,19729790,27112240601.0
odisha,2023,4,khordha,165927018,180631613988.0
odisha,2023,4,cuttack,62618931,82349730773.0
odisha,2023,4,ganjam,48035983,77749126200.0
odisha,2023,4,jajapur,39153853,48907345461.0
odisha,2023,4,puri,33388606,43085652765.0
odisha,2023,4,baleshwar,33254165,50767577705.0
odisha,2023,4,sundargarh,31194923,44374566430.0
odisha,2023,4,kendujhar,27386425,40235381596.0
odisha,2023,4,anugul,25080945,36677401893.0
odisha,2023,4,bhadrak,23724908,31923396167.0
odisha,2023,2,khordha,124412287,146803819835.0
odisha,2023,2,cuttack,46505217,66807740190.0
odisha,2023,2,ganjam,37687158,65580991112.0
odisha,2023,2,jajapur,28791729,40171499264.0
odisha,2023,2,puri,25372964,36233538120.0
odisha,2023,2,baleshwar,25291904,42078597675.0
odisha,2023,2,sundargarh,23197177,35645373543.0
odisha,2023,2,kendujhar,20222348,32289663832.0
odisha,2023,2,bhadrak,18158095,27663111525.0
odisha,2023,2,anugul,17821017,28339516034.0
odisha,2019,1,khordha,9928652,10292381463.86045
odisha,2019,1,cuttack,2843941,2746382808.134754
odisha,2019,1,ganjam,2226839,2660856143.34366
odisha,2019,1,baleshwar,2052883,1780121522.7942674
odisha,2019,1,jajapur,2005354,1597716033.1140459
odisha,2019,1,puri,1300890,1292024780.4366007
